comment_id,vote,x_id
28,1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
28,1,55e229f3-4b57-4930-a7ed-844910104ab3
27,1,0d75710c-9671-40db-ba74-ad979a484cce
28,1,81e56552-f431-44c6-a23c-8aa7c0d051dc
11,1,81e56552-f431-44c6-a23c-8aa7c0d051dc
8,1,81e56552-f431-44c6-a23c-8aa7c0d051dc
6,-1,5f1c4dc6-f1d6-45a1-8e75-91741997da28
29,1,cd33f318-6c78-41d9-a9ee-b59a19f53c8d
30,-1,5f1c4dc6-f1d6-45a1-8e75-91741997da28
33,-1,0bcfcea6-e612-46fb-ba4b-2ffbc00235e9
13,-1,b939cdb9-faa9-49a5-b1ac-726aeb6174c0
2,-1,a1e65b25-337d-4d2b-af3e-cc2257da4a1a
11,1,13944e6a-e2d1-4eec-873e-2fdc643b67f1
7,-1,5f1c4dc6-f1d6-45a1-8e75-91741997da28
27,-1,13944e6a-e2d1-4eec-873e-2fdc643b67f1
29,-1,fefd4257-0de6-4ef0-9695-560ec0757fca
11,1,9c4f85ad-8a2c-41fc-aaed-3548a5c431e8
29,1,3137f512-59d9-4627-881a-2903e12f8758
32,-1,a1e65b25-337d-4d2b-af3e-cc2257da4a1a
1,1,3137f512-59d9-4627-881a-2903e12f8758
33,0,3137f512-59d9-4627-881a-2903e12f8758
33,-1,b7397eb6-5247-4bce-9058-f92443ddcf71
3,-1,b7397eb6-5247-4bce-9058-f92443ddcf71
0,0,381822dd-4139-4c1f-8dea-7ecba318c59b
2,-1,381822dd-4139-4c1f-8dea-7ecba318c59b
33,-1,98b85458-c3a2-40ab-8281-88b5f47ffeeb
1,-1,98b85458-c3a2-40ab-8281-88b5f47ffeeb
22,-1,81e56552-f431-44c6-a23c-8aa7c0d051dc
20,-1,dc493105-e662-4d9a-9e55-71f6cef4e416
27,1,dc493105-e662-4d9a-9e55-71f6cef4e416
13,-1,dc493105-e662-4d9a-9e55-71f6cef4e416
